"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";
"C1";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C2";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C3";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C4";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C5";"19n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C6";"1.9n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C7";"13.4n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C8";"13.4n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C9";"10.9n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C10";"200p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C11";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C12";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C13";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C14";"19n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C15";"1.9n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C16";"13.4n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C17";"13.4n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C18";"10.9n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C19";"200p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C20";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C21";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C22";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C23";"19n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C24";"1.9n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C25";"13.4n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C26";"13.4n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C27";"10.9n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C28";"200p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CH0_OUT";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"CH1_OUT";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"CH2_OUT";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"GND";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"IN0+";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"IN0-";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"IN1+";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"IN1-";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"IN2+";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"IN2-";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"INA1";"INA827";"INA827";"INA827";"";"";"";"";"";"";"";"";"";"";
"R1";"12K";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R2";"12K";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R3";"16K";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R4";"1M";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R5";"10K";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R6";"150K";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R7";"50.4K";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R8";"1.71M";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R9";"128K";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
