"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";
"BIT0_1";"a0";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT0_2";"b0";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT0_3";"c0";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT0_4";"d0";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT0_5";"e0";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT0_6";"f0";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT1_1";"a1";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT1_2";"b1";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT1_3";"c1";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT1_4";"d1";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT1_5";"e1";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT1_6";"f1";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT2_1";"a2";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT2_2";"b2";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT2_3";"c2";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT2_4";"d2";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT2_5";"e2";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT2_6";"f2";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT3_1";"a3";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT3_2";"b3";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT3_3";"c3";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT3_4";"d3";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT3_5";"e3";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BIT3_6";"f3";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"C1";"3.3u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C2";"3.3u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C3";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
